Pvm	Työpäivä?	Tehtäväryhmä	Tehtyjen töiden kuvaus ja kulut	Tunnit yht.	Työaikaa	Norm. tunnit (ei ylitöitä, ei lisiä)	Provisiopalkka																		
26.6.2009			9-16:30	7,5	7,5	7,5	64,00 €																		
27.6.2009			9-15	6	6	6																			
29.6.2009			9-16:30	7,5	7,5	7,5																			
30.6.2009			9-16:30	7,5	7,5	7,5																			
1.7.2009			9-16:30	7,5	7,5	7,5																			
2.7.2009			9-16:30	7,5	7,5	7,5																			
3.7.2009	Hoitovapaa																								
23.7.2009	Hoitovapaa																								
24.7.2009	Hoitovapaa																								
25.7.2009	Hoitovapaa																								
26.7.2009	Hoitovapaa																								
27.7.2009	Hoitovapaa																								
29.7.2009	Hoitovapaa																								
30.7.2009	Hoitovapaa																								
31.7.2009	Hoitovapaa																								
10.8.2009	Hoitovapaa																								
11.8.2009	Hoitovapaa																								
12.8.2009	Hoitovapaa																								
13.8.2009	Hoitovapaa																								
14.8.2009			9-16:30	7,5	7,5	7,5																			
17.8.2009			9-16:30	7,5	7,5	7,5																			
20.8.2009			9-15	6	6	6																			
21.8.2009			9-16:30	7,5	7,5	7,5																			
22.8.2009			9-16:30	7,5	7,5	7,5																			
23.8.2009			9-13:30	4,5	4,5	4,5																			
24.8.2009			9-13	4	4	4																			
25.8.2009			9-15:30	6,5	6,5	6,5																			
27.8.2009			9-16	7	7	7																			
28.8.2009			9-13	4	4	4																			
29.8.2009			9-15:15	6,25	6,25	6,25																			
1.9.2009			9-16:30	7,5	7,5	7,5																			
3.9.2009			9-13	4	4	4																			
4.9.2009			9-15:30	6,5	6,5	6,5	163,00 €																		
7.9.2009			9-14:15	5,25	5,25	5,25																			
8.9.2009			9-13	4	4	4																			
9.9.2009			9-13:15	4,25	4,25	4,25																			
10.9.2009			9-13:15	4,25	4,25	4,25																			
12.9.2009			9-14	5	5	5																			
14.9.2009			9-14	5	5	5																			
15.9.2009			9-13	4	4	4																			
16.9.2009			9-13:45	4,75	4,75	4,75																			
17.9.2009			9-13:30	4,5	4,5	4,5																			
22.9.2009			9-14:15	5,25	5,25	5,25																			
23.9.2009			9-15	6	6	6																			
24.9.2009			9-16:30	7,5	7,5	7,5																			
25.9.2009			9-16:30	7,5	7,5	7,5																			
26.9.2009			9-15	6	6	6																			
28.9.2009			9-13:15	4,25	4,25	4,25																			
29.9.2009			9-15	6	6	6																			
30.9.2009			9-15:15	6,25	6,25	6,25																			
1.10.2009			9-15	6	6	6																			
5.10.2009			9-15	6	6	6																			
7.10.2009			9-16:30	7,5	7,5	7,5																			
8.10.2009			9-16:30	7,5	7,5	7,5																			
10.10.2009			9-16:30	7,5	7,5	7,5																			
12.10.2009			9-15	6	6	6																			
13.10.2009			9-16:30	7,5	7,5	7,5																			
14.10.2009			9-16:30	7,5	7,5	7,5																			
15.10.2009			9-16:30	7,5	7,5	7,5		Oletus: tuntipalkka on 11 euroa / tunti																	
16.10.2009			9-16:30	7,5	7,5	7,5																			
17.10.2009			9-16:30	7,5	7,5	7,5																			
18.10.2009			9-15	6	6	6																			
19.10.2009			9-16:30	7,5	7,5	7,5																			
20.10.2009			9-16:30	7,5	7,5	7,5																			
24.10.2009			9-16:30	7,5	7,5	7,5	186,00 €																		
25.10.2009			9-16:30	7,5	7,5	7,5																			
26.10.2009			9-16:30	7,5	7,5	7,5																			
27.10.2009			9-16:30	7,5	7,5	7,5																			
28.10.2009			9-16:30	7,5	7,5	7,5																			
31.10.2009			9-16:30	7,5	7,5	7,5																			
1.11.2009			9-16:30	7,5	7,5	7,5																			
2.11.2009			9-16:30	7,5	7,5	7,5																			
3.11.2009			9-16:30	7,5	7,5	7,5																			
4.11.2009			9-16:30	7,5	7,5	7,5																			
5.11.2009			9-16:30	7,5	7,5	7,5																			
6.11.2009			9-16:30	7,5	7,5	7,5																			
11.11.2009			9-16:30	7,5	7,5	7,5																			
12.11.2009			9-16:30	7,5	7,5	7,5																			
13.11.2009			9-16:30	7,5	7,5	7,5																			
14.11.2009			9-15	6	6	6																			
16.11.2009			9-16:30	7,5	7,5	7,5																			
17.11.2009			9-16:30	7,5	7,5	7,5																			
18.11.2009			9-16:30	7,5	7,5	7,5	114,00 €																		
20.11.2009			9-16:30	7,5	7,5	7,5																			
21.11.2009			9-16:30	7,5	7,5	7,5																			
23.11.2009			9-16:30	7,5	7,5	7,5																			
24.11.2009			9-16:30	7,5	7,5	7,5																			
25.11.2009			9-16:30	7,5	7,5	7,5																			
26.11.2009			9-16:30	7,5	7,5	7,5																			
28.11.2009			9-14	5	5	5																			
1.12.2009	vanhempainvapaa																								
2.12.2009	vanhempainvapaa																								
3.12.2009	vanhempainvapaa																								
4.12.2009	vanhempainvapaa																								
5.12.2009	vanhempainvapaa																								
8.12.2009	vanhempainvapaa																								
9.12.2009	vanhempainvapaa																								
10.12.2009	vanhempainvapaa																								
11.12.2009	vanhempainvapaa																								
12.12.2009	vanhempainvapaa																								
14.12.2009	vanhempainvapaa																								
15.12.2009	vanhempainvapaa																								
16.12.2009	vanhempainvapaa																								
17.12.2009	vanhempainvapaa																								
19.12.2009	vanhempainvapaa																								
21.12.2009	vanhempainvapaa																								
22.12.2009	vanhempainvapaa																								
23.12.2009	vanhempainvapaa																								
24.12.2009	vanhempainvapaa																								
25.12.2009	vanhempainvapaa																								
29.12.2009	vanhempainvapaa																								
30.12.2009	vanhempainvapaa																								
31.12.2009	vanhempainvapaa																								
1.1.2010			9-16:30	7,5	7,5	7,5																			
1.1.2010	Arkipyhäkorvaukset			7,5																					
2.1.2010			9-16:30	7,5	7,5	7,5	18,00 €																		
4.1.2010			9-16:30	7,5	7,5	7,5																			
5.1.2010			9-16:30	7,5	7,5	7,5																			
6.1.2010			9-16:30	7,5	7,5	7,5																			
6.1.2010	Arkipyhäkorvaukset			7,5																					
9.1.2010			9-16:30	7,5	7,5	7,5																			
10.1.2010			9-16:30	7,5	7,5	7,5																			
11.1.2010			9-16:30	7,5	7,5	7,5																			
12.1.2010			9-16:30	7,5	7,5	7,5																			
13.1.2010			9-16:30	7,5	7,5	7,5																			
14.1.2010			9-16:30	7,5	7,5	7,5																			
15.1.2010			9-16:30	7,5	7,5	7,5																			
18.1.2010			9-16:30	7,5	7,5	7,5																			
19.1.2010			9-16:30	7,5	7,5	7,5																			
20.1.2010			9-16:30	7,5	7,5	7,5																			
21.1.2010			9-16:30	7,5	7,5	7,5																			
22.1.2010			9-16:30	7,5	7,5	7,5																			
25.1.2010			9-16:30	7,5	7,5	7,5																			
26.1.2010			9-16:30	7,5	7,5	7,5																			
27.1.2010			9-16:30	7,5	7,5	7,5																			
28.1.2010			9-16:30	7,5	7,5	7,5																			
30.1.2010			9-16:30	7,5	7,5	7,5																			
1.2.2010			9-13	4	4	4																			
2.2.2010			9-17:15	8,25	8,25	8,25																			
3.2.2010			9-13:15	4,25	4,25	4,25																			
4.2.2010			9-14:15	5,25	5,25	5,25																			
6.2.2010			9-16:30	7,5	7,5	7,5																			
7.2.2010			9-16:30	7,5	7,5	7,5																			
8.2.2010			9-13	4	4	4																			
9.2.2010			9-13:15	4,25	4,25	4,25																			
11.2.2010			9-15	6	6	6																			
13.2.2010			9-16:30	7,5	7,5	7,5																			
15.2.2010			9-13	4	4	4																			
16.2.2010			9-14:15	5,25	5,25	5,25	189,00 €																		
17.2.2010			9-14	5	5	5																			
18.2.2010			9-14	5	5	5																			
20.2.2010			9-15:30	6,5	6,5	6,5																			
22.2.2010			9-16:30	7,5	7,5	7,5																			
23.2.2010			9-14	5	5	5																			
25.2.2010			9-14	5	5	5																			
26.2.2010			9-14:15	5,25	5,25	5,25																			
27.2.2010			9-16:30	7,5	7,5	7,5																			
1.3.2010			9-15	6	6	6																			
2.3.2010			9-14:15	5,25	5,25	5,25																			
3.3.2010			9-15	6	6	6																			
6.3.2010			9-16:30	7,5	7,5	7,5																			
7.3.2010			9-16:30	7,5	7,5	7,5																			
8.3.2010			9-15:15	6,25	6,25	6,25																			
9.3.2010			9-15	6	6	6																			
11.3.2010			9-15	6	6	6																			
12.3.2010			9-15	6	6	6																			
13.3.2010			9-18:30	9,5	9,5	9,5																			
15.3.2010			9-15	6	6	6																			
16.3.2010			9-14	5	5	5																			
17.3.2010			9-15:45	6,75	6,75	6,75																			
18.3.2010			9-16:30	7,5	7,5	7,5																			
19.3.2010			9-13	4	4	4	131,00 €																		
22.3.2010			9-15:45	6,75	6,75	6,75																			
23.3.2010			9-13:45	4,75	4,75	4,75																			
25.3.2010			9-15:45	6,75	6,75	6,75																			
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
